TeamName_FD,TeamName_SR,TeamName_SR_Amended,2015,2016,2017,2018,2019,2020,2021
GAST,Georgia State,Georgia State,Sun Belt,Sun Belt,Sun Belt,Sun Belt (East),Sun Belt (East),Sun Belt (East),Sun Belt (East)
PENNST,Penn State,Penn State,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
CAH,California,California,Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North)
MIAOH,Miami (OH),Miami (OH),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East)
FLATL,Florida Atlantic,Florida Atlantic,CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East),CUSA (East)
IOWAST,Iowa State,Iowa State,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
MIA,Miami (FL),Miami (FL),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
COLST,Colorado State,Colorado State,MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain)
ND,Notre Dame,Notre Dame,Ind,Ind,Ind,Ind,Ind,ACC (Atlantic),Ind
WASHST,Washington State,Washington State,Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North)
LSU,Louisiana State,LSU,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
HAWAII,Hawaii,Hawaii,MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West),MWC (West)
OREGST,Oregon State,Oregon State,Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North)
AIRF,Air Force,Air Force,MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain)
TULANE,Tulane,Tulane,American (West),American (West),American (West),American (West),American (West),American,American
FLST,Florida State,Florida State,ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic)
TX,Texas,Texas,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
VTECH,Virginia Tech,Virginia Tech,ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal),ACC (Coastal)
TCU,Texas Christian,Texas Christian,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
BALLST,Ball State,Ball State,MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West)
BOISE,Boise State,Boise State,MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain),MWC (Mountain)
CMICH,Central Michigan,Central Michigan,MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West)
TULSA,Tulsa,Tulsa,American (West),American (West),American (West),American (West),American (West),American,American
UAB,Alabama-Birmingham,UAB,#N/A,#N/A,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
EMICH,Eastern Michigan,Eastern Michigan,MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West),MAC (West)
SALA,South Alabama,South Alabama,Sun Belt,Sun Belt,Sun Belt,Sun Belt (West),Sun Belt (West),Sun Belt (West),Sun Belt (West)
NMXST,New Mexico State,New Mexico State,Sun Belt,Sun Belt,Sun Belt,Ind,Ind,Ind,Ind
AUBRN,Auburn,Auburn,SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West),SEC (West)
UTEP,Texas-El Paso,UTEP,CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West),CUSA (West)
WVIR,West Virginia,West Virginia,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12,Big 12
STAN,Stanford,Stanford,Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North),Pac-12 (North)
BOWLGR,Bowling Green State,Bowling Green State,MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East),MAC (East)
CLMSN,Clemson,Clemson,ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic),ACC (Atlantic)
MICH,Michigan,Michigan,Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East),Big Ten (East)
ARMY,Army,Army,Ind,Ind,Ind,Ind,Ind,Ind,Ind
