Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
25,50046284,Payton Thorne,MST,QB,3,MIA,18,31,58.1,261,8.4,4,0,125.13,8,4,0.5,0,26.84
26,50036837,Brock Purdy,IOWAST,QB,3,UNLV,21,24,87.5,288,12,3,0,156.25,6,33,5.5,0,26.82
27,50054304,Will Howard,KANST,QB,3,NEVADA,7,10,70,123,12.3,1,0,145,12,56,4.7,2,26.52
28,50046625,Connor Bazelak,MISSR,QB,3,SEMST,21,30,70,346,11.5,3,0,141.81,0,0,0,0,25.84
29,50046623,Garrett Shrader,SYRA,QB,3,ALBNY,11,15,73.3,190,12.7,1,1,109.72,9,42,4.7,2,25.8
30,50059043,Haaziq Daniels,AIRF,QB,3,UTAHST,6,12,50,182,15.2,1,1,88.89,14,102,7.3,1,25.48
31,50046545,Dylan Morris,WASH,QB,3,ARKST,23,39,59,367,9.4,3,2,94.71,3,18,6,0,24.48
32,50027776,Andrew Marty,NW,QB,3,DUKE,11,16,68.8,151,9.4,2,0,138.28,7,44,6.3,1,24.44
33,50044540,Cory Fields Jr.,SCARST,QB,3,NMXST,30,47,63.8,352,7.5,4,3,88.25,6,-4,-0.7,0,23.68
34,50053173,Tanner McKee,STAN,QB,3,VAND,19,29,65.5,218,7.5,2,0,110.99,4,9,2.2,1,23.62
35,50038279,Kaleb Eleby,WMICH,QB,3,PITT,23,35,65.7,337,9.6,3,0,125.54,7,-20,-2.9,0,23.48
36,50048339,Grant Wells,MARSH,QB,3,ECAR,24,39,61.5,433,11.1,1,2,86.81,2,-1,-0.5,1,23.22
37,50036587,Adrian Martinez,NEBR,QB,3,OKL,19,25,76,289,11.6,1,1,110.25,17,34,2,1,22.96
38,50026031,Chase Brice,APPLST,QB,3,ELON,19,25,76,293,11.7,1,0,127.58,4,10,2.5,1,22.72
38,50037928,Cameron Rising,UTAH,QB,3,SDST,19,32,59.4,153,4.8,3,0,102.73,5,46,9.2,0,22.72
40,50037195,Andrew Peasley,UTAHST,QB,3,AIRF,10,15,66.7,195,13,3,0,149.31,5,29,5.8,0,22.7
41,50028371,Noah Vedral,RUTGER,QB,3,DEL,21,26,80.8,323,12.4,2,0,144.07,5,15,3,0,22.42
42,50046339,Spencer Rattler,OKL,QB,3,NEBR,24,34,70.6,214,6.3,1,0,96.94,6,35,5.8,1,22.06
43,50068445,Brady Olson,UMASS,QB,3,EMICH,22,38,57.9,288,7.6,2,1,88.49,4,16,4,0,21.62
44,50028212,Jake Haener,FREST,QB,3,UCLA,39,53,73.6,455,8.6,2,1,103.89,13,-27,-2.1,0,21.5
45,50043030,JT Daniels,GA,QB,3,SC,23,31,74.2,303,9.8,3,1,123.45,1,-7,-7,0,21.42
46,50054501,Bryce Young,ALA,QB,3,FL,22,35,62.9,240,6.9,3,0,111.61,4,-4,-1,0,21.2
47,50036873,Chance Nolan,OREGST,QB,3,IDAHO,14,19,73.7,175,9.2,3,0,141.45,4,21,5.2,0,21.1
48,50041594,Brady McBride,TXST,QB,3,INCAR,25,41,61,278,6.8,2,0,97.41,12,18,1.5,0,20.92
49,50032726,Christian Anderson,ARMY,QB,3,UCONN,2,2,100,70,35,1,0,158.33,6,21,3.5,2,20.9
49,50025975,Desmond Ridder,CIN,QB,3,IND,20,36,55.6,210,5.8,1,1,70.37,10,45,4.5,1,20.9
51,50034720,Jake Dunniway,SACST,QB,3,CAH,25,43,58.1,370,8.6,2,1,92.2,1,0,0,0,20.8
52,50048480,Taulia Tagovailoa,MARY,QB,3,ILL,32,43,74.4,350,8.1,1,0,105.77,6,25,4.2,0,20.5
53,50046249,Grayson McCall,COAST,QB,3,BUF,13,19,68.4,232,12.2,3,1,127.63,11,12,1.1,0,20.48
54,50064510,Tyler Phommachanh,UCONN,QB,3,ARMY,11,26,42.3,109,4.2,0,1,38.78,11,60,5.5,2,20.36
55,50038873,Dylan Hopkins,UAB,QB,3,NTX,6,7,85.7,202,28.9,3,0,158.33,6,2,0.3,0,20.28
56,50000777,D'Eriq King,MIA,QB,3,MST,38,59,64.4,388,6.6,2,2,80.33,12,7,0.6,0,20.22
57,50029000,Frank Harris,UTSA,QB,3,MTNST,24,39,61.5,264,6.8,2,2,77.3,10,56,5.6,0,20.16
58,50037170,Sean Chambers,WYOM,QB,3,BALLST,14,23,60.9,201,8.7,1,0,103.71,7,21,3,1,20.14
59,50037857,Sam Hartman,WAKE,QB,3,FLST,22,31,71,259,8.4,2,1,104.1,9,37,4.1,0,20.06
60,50037447,Emory Jones,FL,QB,3,ALA,18,28,64.3,195,7,0,1,69.79,19,77,4.1,1,19.5
61,50048552,Zach Calzada,TXAM,QB,3,NMX,19,33,57.6,275,8.3,3,1,102.46,3,-17,-5.7,0,19.3
62,50036259,Gunnar Holmberg,DUKE,QB,3,NW,31,44,70.5,314,7.1,1,1,88.64,11,46,4.2,0,19.16
63,50042863,Asher O'Hara,SACST,QB,3,CAH,3,10,30,29,2.9,0,0,39.58,12,49,4.1,2,18.96
64,50037679,Davis Brin,TULSA,QB,3,OHIOST,31,54,57.4,428,7.9,2,2,79.86,3,-23,-7.7,0,18.82
65,50033047,Sean Clifford,PENNST,QB,3,AUBRN,28,32,87.5,280,8.8,2,1,110.94,6,16,2.7,0,18.8
66,50054070,Michael Pratt,TULANE,QB,3,MISS,10,18,55.6,166,9.2,2,0,123.84,11,37,3.4,0,18.34
67,50027872,Braxton Burmeister,VTECH,QB,3,WVIR,19,31,61.3,223,7.2,2,0,104.64,16,11,0.7,0,18.02
68,50040706,Darren Grainger,GAST,QB,3,CHARLT,6,12,50,139,11.6,2,1,96.87,16,64,4,0,17.96
69,50036098,Ben Bryant,EMICH,QB,3,UMASS,14,21,66.7,298,14.2,1,0,125.6,5,16,3.2,0,17.52
70,50026079,Matt McDonald,BOWLGR,QB,3,MURST,22,28,78.6,221,7.9,1,1,96.58,7,5,0.7,1,17.34
70,50046700,Brett Gabbert,MIAOH,QB,3,LIUB,10,16,62.5,171,10.7,2,1,112.24,3,45,15,0,17.34
72,50048235,Cade McNamara,MICH,QB,3,NILL,8,11,72.7,191,17.4,1,0,145.08,2,-7,-3.5,1,16.94
73,50027590,Levi Lewis,LOULAF,QB,3,OHIO,21,29,72.4,212,7.3,1,1,90.01,12,61,5.1,0,16.58
74,50002921,Anthony Brown,ORE,QB,3,STBR,14,18,77.8,159,8.8,1,0,121.99,4,1,0.2,1,16.46
75,50042820,Jaren Hall,BYU,QB,3,ARZST,15,27,55.6,214,7.9,2,2,75.23,7,38,5.4,0,16.36
76,50036663,Will Levis,UK,QB,3,CHAT,23,35,65.7,254,7.3,2,2,82.32,3,18,6,0,15.96
77,50015440,Logan Bonner,UTAHST,QB,3,AIRF,21,34,61.8,253,7.4,2,1,91.91,4,-2,-0.5,0,15.92
78,50062648,Timmy McClain,SFL,QB,3,FLAM,12,23,52.2,163,7.1,1,0,89.58,14,51,3.6,0,15.62
79,50037528,Justin Tomlin,GAS,QB,3,ARK,11,23,47.8,65,2.8,0,0,54.44,10,69,6.9,1,15.5
80,50027180,Taylor Powell,TROY,QB,3,SOUMIS,27,39,69.2,255,6.5,2,0,104.11,4,-30,-7.5,0,15.2
81,50029947,Cole Copeland,CHAT,QB,3,UK,21,35,60,168,4.8,1,1,69.7,1,2,2,1,14.92
82,50027747,Jack Coan,ND,QB,3,PUR,15,30,50,223,7.4,2,0,96.94,5,-21,-4.2,0,14.82
83,50002587,Lucas Johnson,SDST,QB,3,UTAH,10,19,52.6,44,2.3,1,0,75.99,8,87,10.9,0,14.46
84,50026081,Dennis Grosel,BOSCOL,QB,3,TEMPL,7,15,46.7,59,3.9,1,1,51.81,7,40,5.7,1,14.36
85,50036123,Ike Ogbogu,HOU,QB,3,GRMBST,14,22,63.6,196,8.9,2,0,122.54,5,-15,-3,0,14.34
86,50058400,Joey Carino,ALBNY,QB,3,SYRA,7,9,77.8,59,6.6,1,0,131.02,12,19,1.6,1,14.26
87,50012738,Nick Starkel,SJST,QB,3,HAWAII,23,50,46,235,4.7,2,1,65,2,-12,-6,0,14.2
88,50042415,Chevan Cordeiro,HAWAII,QB,3,SJST,18,39,46.2,242,6.2,0,0,66.4,10,39,3.9,0,13.58
89,50038005,Spencer Sanders,OKST,QB,3,BOISE,6,13,46.2,82,6.3,0,0,66.83,15,40,2.7,1,13.28
90,50037926,Casey Thompson,TX,QB,3,RICE,15,18,83.3,164,9.1,2,1,118.52,2,7,3.5,0,13.26
91,50028668,Jarret Doege,WVIR,QB,3,VTECH,15,26,57.7,193,7.4,2,1,90.71,5,-5,-1,0,13.22
92,50036488,Spencer Petras,IOWA,QB,3,KENTST,25,36,69.4,209,5.8,1,0,93.4,1,5,5,0,12.86
93,50035584,Chase Cunningham,MTNST,QB,3,UTSA,9,18,50,150,8.3,2,0,115.51,4,-12,-3,0,12.8
94,50064524,Seth Henigan,MPHS,QB,3,MSPST,16,28,57.1,159,5.7,2,1,82.29,4,3,0.8,0,12.66
95,50018812,Felix Harper,ALCST,QB,3,SALA,20,33,60.6,265,8,1,1,83.52,8,-1,-0.1,0,12.5
96,50036930,Jason Bean,KAN,QB,3,BAYL,8,17,47.1,57,3.4,1,0,74.88,12,62,5.2,0,12.48
97,50003838,Max Bortenschlager,FLINT,QB,3,TXTECH,12,27,44.4,185,6.9,2,1,76.93,2,-15,-7.5,0,11.9
98,50036228,Jordan Travis,FLST,QB,3,WAKE,5,6,83.3,107,17.8,2,1,118.75,11,16,1.5,0,11.88
99,50062167,Shedeur Sanders,JACKST,QB,3,LAMON,28,41,68.3,259,6.3,1,1,83.28,9,-5,-0.6,0,11.86
100,50033188,Chris Reynolds,CHARLT,QB,3,GAST,13,28,46.4,158,5.6,1,0,76.19,8,14,1.8,0,11.72
101,50039997,Tim DeMorat,FORDM,QB,3,FLATL,16,40,40,208,5.2,2,2,52.92,2,-8,-4,0,11.52
102,50048490,Hank Bachmeier,BOISE,QB,3,OKST,22,34,64.7,242,7.1,1,1,83.21,10,-2,-0.2,0,11.48
102,50048434,Kurtis Rourke,OHIO,QB,3,LOULAF,12,22,54.5,122,5.5,2,0,100.95,2,-14,-7,0,11.48
104,50036506,Michael Penix Jr.,IND,QB,3,CIN,17,40,42.5,224,5.6,2,3,46.25,4,5,1.2,0,11.46
105,50036522,Jack Plummer,PUR,QB,3,ND,25,36,69.4,187,5.2,1,0,90.86,4,-3,-0.8,0,11.18
106,50062760,Jordan Moore,DUKE,QB,3,NW,1,1,100,36,36,0,0,118.75,11,37,3.4,1,11.14
107,50037093,Carson Strong,NEVADA,QB,3,KANST,27,40,67.5,262,6.6,1,1,83.54,5,-14,-2.8,0,11.08
108,50027344,Rocky Lombardi,NILL,QB,3,MICH,9,17,52.9,46,2.7,1,1,53.8,7,72,10.3,0,11.04
109,50044878,Rasean McKay,FLAM,QB,3,SFL,25,49,51,248,5.1,1,0,72.49,4,-29,-7.2,0,11.02
110,50063701,Ty Thompson,ORE,QB,3,STBR,6,9,66.7,82,9.1,2,0,135.19,1,-5,-5,0,10.78
110,50060518,Jayden De Laura,WASHST,QB,3,USC,10,19,52.6,117,6.2,2,1,84.76,3,1,0.3,0,10.78
112,50026548,Tommy DeVito,SYRA,QB,3,ALBNY,6,9,66.7,147,16.3,1,1,107.18,5,28,5.6,0,10.68
113,50028127,Todd Centeio,COLST,QB,3,TOLEDO,11,27,40.7,110,4.1,0,0,53.01,12,62,5.2,0,10.6
114,50045431,Bo Nix,AUBRN,QB,3,PENNST,21,37,56.8,185,5,0,0,70.21,6,29,4.8,0,10.3
115,50065538,RJ Martinez,NARZ,QB,3,ARZ,11,16,68.8,88,5.5,1,1,77.08,6,43,7.2,0,9.82
116,50066506,CJ Ogbonna,SEMST,QB,3,MISSR,7,14,50,53,3.8,0,1,29.76,12,96,8,0,9.72
117,50054703,DJ Uiagalelei,CLMSN,QB,3,GTECH,18,25,72,126,5,0,0,83.08,8,46,5.8,0,9.64
118,50028644,Dustin Crum,KENTST,QB,3,IOWA,16,23,69.6,185,8,1,0,108.06,12,-22,-1.8,0,9.2
119,50068416,Justin Lynch,TEMPL,QB,3,BOSCOL,17,24,70.8,161,6.7,0,0,89.06,21,27,1.3,0,9.14
120,50038229,Carter Bradley,TOLEDO,QB,3,COLST,22,36,61.1,254,7.1,0,0,82.41,7,-12,-1.7,0,8.96
121,50038784,AJ Mayer,MIAOH,QB,3,LIUB,8,9,88.9,123,13.7,1,0,155.79,0,0,0,0,8.92
122,50054496,Mike Wright,VAND,QB,3,STAN,2,3,66.7,31,10.3,1,0,140.28,3,36,12,0,8.84
123,50026050,James Blackman,ARKST,QB,3,WASH,16,38,42.1,176,4.6,0,0,56.47,5,17,3.4,0,8.74
124,50033311,Henry Colombi,TXTECH,QB,3,FLINT,1,1,100,8,8,0,0,100,2,22,11,1,8.52
125,50054494,Ken Seals,VAND,QB,3,STAN,16,37,43.2,120,3.2,1,1,49.38,7,16,2.3,0,8.4
126,50026237,Kyle Vantrease,BUF,QB,3,COAST,13,20,65,146,7.3,0,0,86.67,2,24,12,0,8.24
127,50046220,Jordan Yates,GTECH,QB,3,CLMSN,20,34,58.8,203,6,0,1,63.73,15,21,1.4,0,8.22
127,50055500,Luke Doty,SC,QB,3,GA,13,26,50,153,5.9,1,1,65.06,6,1,0.2,0,8.22
129,50052858,Jemel Jones,ARMY,QB,3,UCONN,1,1,100,37,37,0,0,118.75,16,67,4.2,0,8.18
130,50054506,Malik Hornsby,ARK,QB,3,GAS,1,1,100,-2,-2,0,0,79.17,5,22,4.4,1,8.12
131,50054288,C.J. Stroud,OHIOST,QB,3,TULSA,15,25,60,185,7.4,1,1,79.58,2,-14,-7,0,8
132,50068385,Camden Orth,LIUB,QB,3,MIAOH,15,21,71.4,178,8.5,1,0,112.8,5,-32,-6.4,0,7.92
133,50038157,Matt Myers,BUF,QB,3,COAST,0,1,0,0,0,0,0,39.58,2,15,7.5,1,7.5
134,50054910,Harrison Bailey,TENN,QB,3,TENTCH,3,7,42.9,16,2.3,0,0,50.3,4,8,2,1,7.44
135,50046582,Jayden Daniels,ARZST,QB,3,BYU,21,29,72.4,265,9.1,0,2,71.77,10,8,0.8,0,7.4
136,50028046,Keytaon Thompson,VIR,QB,3,NCAR,1,2,50,-1,-0.5,0,0,56.25,3,11,3.7,0,7.36
137,50012363,Jake Bentley,SALA,QB,3,ALCST,14,25,56,158,6.3,0,0,75.08,3,7,2.3,0,7.02
138,50028886,Preston Hutchinson,EMICH,QB,3,UMASS,2,3,66.7,25,8.3,0,0,92.36,2,0,0,1,7
139,50037292,Jacob Sirmon,CMICH,QB,3,LSU,17,24,70.8,156,6.5,1,1,84.72,6,-13,-2.2,0,6.94
140,50048449,Daniel Richardson,CMICH,QB,3,LSU,8,15,53.3,72,4.8,1,0,88.75,0,0,0,0,6.88
141,50064078,Tyler Macon,MISSR,QB,3,SEMST,3,4,75,69,17.2,1,0,156.25,0,0,0,0,6.76
142,50026754,Tanner Morgan,MINNST,QB,3,COL,11,17,64.7,164,9.6,0,0,96.2,3,1,0.3,0,6.66
143,50019989,Armani Rogers,OHIO,QB,3,LOULAF,2,4,50,16,4,0,0,60.42,7,58,8.3,0,6.44
144,50054879,Will Plummer,ARZ,QB,3,NARZ,19,34,55.9,191,5.6,1,2,57.35,2,-13,-6.5,0,6.34
145,50029641,Davis Cheek,ELON,QB,3,APPLST,22,36,61.1,225,6.2,0,1,67.48,4,-10,-2.5,0,6
146,50029097,Rhett Rodriguez,LAMON,QB,3,JACKST,16,29,55.2,150,5.2,0,0,69.61,7,-3,-0.4,0,5.7
147,50036201,Jordan McCloud,ARZ,QB,3,NARZ,6,7,85.7,66,9.4,1,0,145.54,1,-10,-10,0,5.64
148,50048108,Chandler Fields,LOULAF,QB,3,OHIO,4,5,80,40,8,1,0,139.58,1,-1,-1,0,5.5
149,50065191,Zevi Eckhaus,BRYANT,QB,3,AKRON,15,22,68.2,110,5,1,0,94.89,5,-30,-6,0,5.4
150,50040709,Hamp Sisson,FURMAN,QB,3,NCST,8,19,42.1,86,4.5,1,1,51.64,4,-2,-0.5,0,5.24
151,50054917,Brady Cook,MISSR,QB,3,SEMST,4,4,100,25,6.2,1,0,132.29,0,0,0,0,5
152,50028367,D.J. Mack Jr.,OLD,QB,3,LIBRTY,15,27,55.6,134,5,1,1,65.97,12,-24,-2,0,4.96
153,50036372,Johnny Langan,RUTGER,QB,3,DEL,0,1,0,0,0,0,0,39.58,0,0,0,0,4.2
154,50037594,Baylor Romney,BYU,QB,3,ARZST,1,1,100,3,3,1,0,118.75,0,0,0,0,4.12
155,50067108,Jacob Rodriguez,VIR,QB,3,NCAR,0,0,0,0,0,0,0,0,3,14,4.7,0,3.7
156,50049166,Jalyn Williams,SEMST,QB,3,MISSR,1,1,100,26,26,0,0,118.75,2,25,12.5,0,3.54
157,50029667,Nolan Henderson,DEL,QB,3,RUTGER,11,21,52.4,92,4.4,1,0,79.86,6,-42,-7,0,3.48
158,50036932,Austin Aune,NTX,QB,3,UAB,8,21,38.1,65,3.1,0,0,46.73,4,7,1.8,0,3.3
159,50064618,J.J. McCarthy,MICH,QB,3,NILL,4,6,66.7,42,7,0,0,86.81,1,16,16,0,3.28
160,50036219,Jace Ruder,NTX,QB,3,UAB,6,13,46.2,34,2.6,1,1,46.63,6,-1,-0.2,0,3.26
161,50027213,Aldon Clark,GRMBST,QB,3,HOU,5,12,41.7,49,4.1,0,0,53.82,9,12,1.3,0,3.16
162,50017851,Jake Constantine,RICE,QB,3,TX,12,15,80,80,5.3,0,0,88.89,3,-2,-0.7,0,3
163,50061153,CJ Jordan,IDAHO,QB,3,OREGST,7,16,43.8,37,2.3,0,2,11.46,14,55,3.9,0,2.98
164,50054298,Garrett Greene,WVIR,QB,3,VTECH,0,1,0,0,0,0,0,39.58,4,28,7,0,2.8
165,50048267,Cole Snyder,RUTGER,QB,3,DEL,2,2,100,7,3.5,0,0,81.25,5,25,5,0,2.78
166,50031365,Stone Smartt,OLD,QB,3,LIBRTY,0,0,0,0,0,0,0,0,0,0,0,0,2.7
167,50045768,Kinkead Dent,MISS,QB,3,TULANE,0,2,0,0,0,0,0,39.58,1,26,26,0,2.6
168,50005809,Zeb Noland,SC,QB,3,GA,1,2,50,61,30.5,0,0,95.83,2,0,0,0,2.44
169,50062749,Tyler Buchner,ND,QB,3,PUR,0,1,0,0,0,0,0,39.58,3,24,8,0,2.4
170,50004154,Brandon Peters,ILL,QB,3,MARY,10,26,38.5,185,7.1,0,1,47.76,9,-31,-3.4,0,2.3
171,50048136,Javion Posey,FLATL,QB,3,FORDM,0,0,0,0,0,0,0,0,2,10,5,0,2.1
172,50055333,Hunter Dekkers,IOWAST,QB,3,UNLV,2,6,33.3,21,3.5,0,0,44.44,1,12,12,0,2.04
172,50048369,Chandler Rogers,LAMON,QB,3,JACKST,1,4,25,6,1.5,0,0,39.58,12,18,1.5,0,2.04
174,50055418,Aveon Smith,MIAOH,QB,3,LIUB,0,0,0,0,0,0,0,0,2,20,10,0,2
175,50063733,Drew Carter,COL,QB,3,MINNST,4,8,50,27,3.4,0,0,57.81,2,9,4.5,0,1.98
176,50038357,Wiley Green,RICE,QB,3,TX,5,6,83.3,28,4.7,0,0,86.11,4,8,2,0,1.92
177,50037421,Cammon Cooper,WASHST,QB,3,USC,4,5,80,44,8.8,0,1,63.75,4,21,5.2,0,1.86
178,50032609,Nick Tronti,FLATL,QB,3,FORDM,3,3,100,23,7.7,0,0,98.61,1,9,9,0,1.82
179,50048522,Nick Nash,SJST,QB,3,HAWAII,0,1,0,0,0,0,0,39.58,0,0,0,0,1.8
180,50039823,Anthony Paoletti,DEL,QB,3,RUTGER,1,1,100,6,6,0,0,91.67,4,15,3.8,0,1.74
181,50049088,Willie Miller,TENTCH,QB,3,TENN,2,10,20,18,1.8,0,1,0,10,30,3,0,1.72
182,50026129,Tyler Johnston III,UAB,QB,3,NTX,1,6,16.7,32,5.3,0,0,49.31,3,4,1.3,0,1.68
183,50048548,Ryan Hilinski,NW,QB,3,DUKE,2,7,28.6,34,4.9,0,0,47.32,0,0,0,0,1.36
183,50054301,Hudson Card,TX,QB,3,RICE,2,3,66.7,29,9.7,0,0,97.92,1,2,2,0,1.36
185,50015845,Jacob Huesman,APPLST,QB,3,ELON,3,4,75,48,12,0,0,114.58,1,-6,-6,0,1.32
185,50042193,Nick Patti,PITT,QB,3,WMICH,2,3,66.7,33,11,0,0,103.47,0,0,0,0,1.32
187,50046299,Luke McCaffrey,RICE,QB,3,TX,2,3,66.7,20,6.7,0,0,85.42,1,5,5,0,1.3
187,50004585,Patrick O'Brien,WASH,QB,3,ARKST,0,0,0,0,0,0,0,0,1,13,13,0,1.3
189,50027382,Tate Martell,UNLV,QB,3,IOWAST,2,6,33.3,27,4.5,0,0,48.61,4,2,0.5,0,1.28
190,50063724,Sam Huard,WASH,QB,3,ARKST,2,5,40,31,6.2,0,0,61.25,0,0,0,0,1.24
191,50054110,Ben Finley,NCST,QB,3,FURMAN,5,8,62.5,28,3.5,0,0,68.75,1,1,1,0,1.22
192,50060843,DJ Williams,MURST,QB,3,BOWLGR,0,0,0,0,0,0,0,0,2,11,5.5,0,1.1
193,50045978,Mike Beaudry,IDAHO,QB,3,OREGST,6,9,66.7,47,5.2,0,0,79.4,2,-8,-4,0,1.08
193,50030730,Preston Rice,MURST,QB,3,BOWLGR,13,28,46.4,132,4.7,0,2,30.65,7,-2,-0.3,0,1.08
195,50033005,Aidan O'Connell,PUR,QB,3,ND,11,18,61.1,104,5.8,0,2,37.5,1,8,8,0,0.96
196,50039573,Joshua Zamot,STBR,QB,3,ORE,0,0,0,0,0,0,0,0,3,9,3,0,0.9
197,50054438,Jay Butterfield,ORE,QB,3,STBR,2,3,66.7,22,7.3,0,0,88.19,0,0,0,0,0.88
198,50060340,Deuce Spann,ILL,QB,3,MARY,0,0,0,0,0,0,0,0,0,0,0,0,0.8
198,50055461,Jack Salopek,WMICH,QB,3,PITT,3,3,100,20,6.7,0,0,94.44,0,0,0,0,0.8
200,50048094,DeQuan Finn,TOLEDO,QB,3,COLST,3,7,42.9,16,2.3,0,0,50.3,6,1,0.2,0,0.74
201,50040529,Drew Martin,TENTCH,QB,3,TENN,10,14,71.4,93,6.6,0,1,59.52,6,-10,-1.7,0,0.72
202,50036805,Miles Kendrick,KAN,QB,3,BAYL,0,0,0,0,0,0,0,0,1,7,7,0,0.7
203,50063088,Cam Ransom,GAS,QB,3,ARK,2,5,40,16,3.2,0,0,48.75,0,0,0,0,0.64
204,50056977,Dan Villari,MICH,QB,3,NILL,0,0,0,0,0,0,0,0,3,6,2,0,0.6
204,50054074,Iraken Armstead,VIR,QB,3,NCAR,0,0,0,0,0,0,0,0,0,0,0,0,0.6
206,50039600,Jeff Undercuffler,ALBNY,QB,3,SYRA,7,13,53.8,69,5.3,0,0,69.07,7,-22,-3.1,0,0.56
206,50001012,McKenzie Milton,FLST,QB,3,WAKE,11,16,68.8,119,7.4,0,2,50.78,3,-2,-0.7,0,0.56
208,50027696,Josh Adkins,UTSA,QB,3,MTNST,2,5,40,13,2.6,0,0,47.92,0,0,0,0,0.52
209,50046355,Jacob Zeno,BAYL,QB,3,KAN,0,1,0,0,0,0,0,39.58,1,5,5,0,0.5
209,50062772,Will Taylor,CLMSN,QB,3,GTECH,0,0,0,0,0,0,0,0,0,0,0,0,0.5
209,50037497,Joey Gatewood,UCF,QB,3,LOU,0,0,0,0,0,0,0,0,1,5,5,0,0.5
212,50037025,John Paddock,BALLST,QB,3,WYOM,13,20,65,82,4.1,0,1,52.5,2,-9,-4.5,0,0.38
213,50048491,Kaiden Bennett,SACST,QB,3,CAH,1,1,100,9,9,0,0,104.17,0,0,0,0,0.36
214,50067842,Sam Vidlak,OREGST,QB,3,IDAHO,2,3,66.7,8,2.7,0,0,70.14,0,0,0,0,0.32
215,50042657,Jabari Laws,ARMY,QB,3,UCONN,0,0,0,0,0,0,0,0,1,3,3,0,0.3
215,50046436,Collin Schlee,KENTST,QB,3,IOWA,0,0,0,0,0,0,0,0,1,3,3,0,0.3
215,50060366,Zamar Wise,UMASS,QB,3,EMICH,0,0,0,0,0,0,0,0,1,3,3,0,0.3
