Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
1,50038515,Matt Corral,MISS,QB,3,TULANE,23,31,74.2,335,10.8,3,0,141.2,13,68,5.2,4,56.2
2,50028057,Malik Willis,LIBRTY,QB,3,OLD,21,28,75,242,8.6,4,0,140.18,9,77,8.6,2,45.38
3,50040561,DJ Irons,AKRON,QB,3,BRYANT,19,23,82.6,296,12.9,3,0,158.33,15,136,9.1,1,43.44
4,50026519,Kenny Pickett,PITT,QB,3,WMICH,23,31,74.2,382,12.3,6,1,141.4,9,57,6.3,0,42.98
5,50046128,Sam Howell,NCAR,QB,3,VIR,14,21,66.7,307,14.6,5,1,129.46,15,112,7.5,0,41.48
6,50036765,Tanner Mordecai,SMU,QB,3,LOUTCH,36,48,75,395,8.2,5,0,133.59,8,51,6.4,0,40.9
7,50036159,Holton Ahlers,ECAR,QB,3,MARSH,30,48,62.5,368,7.7,2,0,100,12,-12,-1,1,36.22
8,50005262,Austin Kendall,LOUTCH,QB,3,SMU,24,39,61.5,351,9,4,1,114.37,6,20,3.3,1,36.04
9,50041135,Brennan Armstrong,VIR,QB,3,NCAR,39,54,72.2,554,10.3,4,1,121.99,8,-16,-2,0,34.56
10,50026310,Malik Cunningham,LOU,QB,3,UCF,23,38,60.5,265,7,1,1,79.39,13,99,7.6,2,34.5
11,50054462,Max Johnson,LSU,QB,3,CMICH,26,35,74.3,372,10.6,5,1,135.95,1,4,4,0,33.28
12,50046075,Dillon Gabriel,UCF,QB,3,LOU,22,29,75.9,184,6.3,3,1,111.85,10,18,1.8,1,33.16
13,50026573,Hendon Hooker,TENN,QB,3,TENTCH,17,25,68,199,8,3,0,131.5,9,64,7.1,1,32.36
13,50037242,Tyler Shough,TXTECH,QB,3,FLINT,26,35,74.3,399,11.4,4,0,149.58,3,4,1.3,0,32.36
15,50063704,Jaxson Dart,USC,QB,3,WASHST,30,46,65.2,391,8.5,4,2,102.72,6,32,5.3,0,30.84
16,50027893,Chase Garbers,CAH,QB,3,SACST,22,34,64.7,288,8.5,2,1,98.65,4,68,17,1,30.32
17,50039939,Dorian Thompson-Robinson,UCLA,QB,3,FREST,14,24,58.3,278,11.6,3,0,138.54,13,67,5.2,0,29.82
18,50036338,Devin Leary,NCST,QB,3,FURMAN,23,29,79.3,259,8.9,3,0,138.36,1,7,7,1,29.06
19,50045851,KJ Jefferson,ARK,QB,3,GAS,13,23,56.5,366,15.9,3,0,140.85,5,18,3.6,0,28.44
20,50056635,Will Rogers,MSPST,QB,3,MPHS,50,67,74.6,419,6.3,3,0,105.25,3,-6,-2,0,28.16
21,50038679,Gerry Bohannon,BAYL,QB,3,KAN,19,23,82.6,269,11.7,2,0,144.38,5,33,6.6,1,28.06
22,50026462,N'Kosi Perry,FLATL,QB,3,FORDM,27,43,62.8,278,6.5,2,0,96.85,6,29,4.8,1,28.02
23,50056064,Cameron Ward,INCAR,QB,3,TXST,31,47,66,376,8,4,1,109.88,6,-13,-2.2,0,27.74
24,50043589,Dino Maldonado,NMXST,QB,3,SCARST,24,32,75,321,10,3,0,137.63,5,22,4.4,0,27.04
