Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
197,50068458,Cam Fancher,MARSH,QB,2,NCC,2,3,66.7,32,10.7,0,0,102.08,2,15,7.5,0,2.78
198,50067463,Eddie Lee Marburger,UTSA,QB,2,LAMAR,2,4,50,69,17.2,0,0,95.83,0,0,0,0,2.76
199,50000346,Anthony Russo,MST,QB,2,YNGST,5,7,71.4,43,6.1,0,0,87.2,3,10,3.3,0,2.72
200,50030547,Joe Craycraft,YNGST,QB,2,MST,6,9,66.7,56,6.2,0,0,83.56,1,3,3,0,2.54
201,50058603,Collin Ironside,VAMIL,QB,2,KENTST,7,12,58.3,91,7.6,0,1,47.57,3,8,2.7,0,2.44
202,50054771,Logan Smothers,NEBR,QB,2,BUF,1,1,100,54,54,0,0,118.75,1,2,2,0,2.36
203,50042092,James Foster,CHARLT,QB,2,GARDWB,5,8,62.5,65,8.1,0,0,88.02,3,-3,-1,0,2.3
203,50054950,Samuel Kenerson,GAS,QB,2,FLATL,2,3,66.7,20,6.7,0,1,45.83,9,35,3.9,0,2.3
205,50028264,Austin Burton,PUR,QB,2,UCONN,5,5,100,44,8.8,0,0,103.33,3,5,1.7,0,2.26
206,50048868,Xavier Shepherd,KENEST,QB,2,GTECH,8,20,40,111,5.6,1,2,35.62,15,-22,-1.5,0,2.24
207,50061881,Carlos Davis,WCAR,QB,2,OKL,5,7,71.4,37,5.3,0,1,44.05,3,27,9,0,2.18
208,50048086,Hayden Wolff,OLD,QB,2,HAMP,4,7,57.1,52,7.4,0,0,80.65,0,0,0,0,2.08
209,50048235,Cade McNamara,MICH,QB,2,WASH,7,15,46.7,44,2.9,0,0,53.47,3,3,1,0,2.06
210,50037025,John Paddock,BALLST,QB,2,PENNST,5,6,83.3,50,8.3,0,0,101.39,0,0,0,0,2
210,50062772,Will Taylor,CLMSN,QB,2,SCARST,0,0,0,0,0,0,0,0,5,20,4,0,2
212,50046200,Knox Kadum,VTECH,QB,2,MTNST,3,4,75,17,4.2,0,0,82.29,2,13,6.5,0,1.98
213,50062151,Jalen Brown,TXS,QB,2,BAYL,7,12,58.3,96,8,0,0,84.03,2,-19,-9.5,0,1.94
214,50006049,Skylar Thompson,KANST,QB,2,SILL,3,4,75,96,24,0,1,77.08,0,0,0,0,1.84
215,50002587,Lucas Johnson,SDST,QB,2,ARZ,0,1,0,0,0,0,0,39.58,2,18,9,0,1.8
215,50067521,Mareyohn Hrabowski,WMICH,QB,2,ILLST,0,1,0,0,0,0,0,39.58,5,18,3.6,0,1.8
217,50046299,Luke McCaffrey,RICE,QB,2,HOU,9,19,47.4,86,4.5,1,3,38.38,8,3,0.4,0,1.74
218,50056387,Mike Diliello,MTNST,QB,2,VTECH,0,0,0,0,0,0,0,0,1,17,17,0,1.7
219,50055211,Luca Diamont,DUKE,QB,2,NCAT,1,1,100,17,17,0,0,118.75,3,10,3.3,0,1.68
220,50018719,Cody Orgeron,MCNST,QB,2,LSU,10,20,50,91,4.6,1,0,79.38,15,-60,-4,0,1.64
221,50026227,Elijah Walker,GRMBST,QB,2,SOUMIS,8,13,61.5,30,2.3,0,0,65.87,3,4,1.3,0,1.6
222,50045831,Paul Tyson,ALA,QB,2,MERC,1,3,33.3,39,13,0,0,81.94,0,0,0,0,1.56
223,50060711,Chance Hollingsworth,HOWRD,QB,2,MARY,2,4,50,13,3.2,0,0,57.29,3,10,3.3,0,1.52
224,50068385,Camden Orth,LIUB,QB,2,WVIR,11,20,55,60,3,0,0,60.42,3,-9,-3,0,1.5
224,50031940,Cephus Johnson III,SELOU,QB,2,LOUTCH,0,0,0,0,0,0,0,0,2,13,6.5,0,1.5
226,50070271,Quinton Williams,HOWRD,QB,2,MARY,10,27,37,67,2.5,0,1,30.02,2,8,4,0,1.48
227,50036422,Bryce Carpenter,COAST,QB,2,KAN,0,0,0,0,0,0,0,0,3,14,4.7,0,1.4
227,50063781,Luke Altmyer,MISS,QB,2,AUSP,0,3,0,0,0,0,0,39.58,1,14,14,0,1.4
229,50045488,Sheldon Layman,AUSP,QB,2,MISS,2,3,66.7,34,11.3,0,0,104.86,0,0,0,0,1.36
229,50038087,Calvin Brownholtz,UTEP,QB,2,BOISE,1,2,50,9,4.5,0,0,62.5,5,10,2,0,1.36
231,50028886,Preston Hutchinson,EMICH,QB,2,WISC,6,13,46.2,53,4.1,0,1,25.48,3,12,4,0,1.32
231,50036123,Ike Ogbogu,HOU,QB,2,RICE,1,3,33.3,13,4.3,0,0,47.92,2,8,4,0,1.32
231,50055980,Jonah Johnson,NMXST,QB,2,NMX,4,10,40,33,3.3,0,0,49.17,1,0,0,0,1.32
234,50041883,Cord Sandberg,EKENT,QB,2,LOU,2,2,100,20,10,0,0,108.33,1,5,5,0,1.3
235,50031365,Stone Smartt,OLD,QB,2,HAMP,0,0,0,0,0,0,0,0,0,0,0,0,1.2
236,50046609,Maasai Maynor,NAVY,QB,2,AIRF,3,5,60,32,6.4,0,0,78.75,4,-1,-0.2,0,1.18
237,50068409,Rogan Wells,WCAR,QB,2,OKL,16,29,55.2,86,3,0,0,60.56,5,-23,-4.6,0,1.14
238,50063448,Will Crowder,WVIR,QB,2,LIUB,2,2,100,28,14,0,0,118.75,0,0,0,0,1.12
239,50046623,Garrett Shrader,SYRA,QB,2,RUTGER,4,6,66.7,42,7,0,0,86.81,4,-6,-1.5,0,1.08
240,50037700,Quadry Jones,UCF,QB,2,BCOOK,1,1,100,14,14,0,0,118.75,1,5,5,0,1.06
241,50036217,Cade Fortin,SFL,QB,2,FL,12,18,66.7,91,5.1,0,1,55.56,2,-6,-3,0,1.04
242,50028173,Jack Sears,BOISE,QB,2,UTEP,0,1,0,0,0,0,0,39.58,2,10,5,0,1
243,50041905,Phil Jurkovec,BOSCOL,QB,2,UMASS,3,4,75,22,5.5,0,0,87.5,0,0,0,0,0.88
244,50055317,Jalon Daniels,KAN,QB,2,COAST,3,5,60,49,9.8,0,0,92.92,2,-11,-5.5,0,0.86
245,50046355,Jacob Zeno,BAYL,QB,2,TXS,1,2,50,41,20.5,0,0,95.83,2,-8,-4,0,0.84
246,50064661,Ralph Rucker,OKL,QB,2,WCAR,2,2,100,20,10,0,0,108.33,0,0,0,0,0.8
247,50058640,Myles Crawley,ALAST,QB,2,AUBRN,0,2,0,0,0,0,0,39.58,4,7,1.8,0,0.7
247,50036228,Jordan Travis,FLST,QB,2,JAXST,0,3,0,0,0,0,0,39.58,1,7,7,0,0.7
249,50043745,Devin Black,BCOOK,QB,2,UCF,2,3,66.7,17,5.7,0,0,81.25,0,0,0,0,0.68
250,50056025,Kahliq Paulette,CALPOL,QB,2,FREST,1,4,25,9,2.2,0,0,39.58,4,3,0.8,0,0.66
251,50054701,Hunter Helms,CLMSN,QB,2,SCARST,2,5,40,16,3.2,0,0,48.75,0,0,0,0,0.64
252,50036932,Austin Aune,NTX,QB,2,SMU,2,4,50,18,4.5,0,0,62.5,2,-1,-0.5,0,0.62
