Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
60,50054501,Bryce Young,ALA,QB,2,MERC,19,27,70.4,227,8.4,3,0,132.79,2,1,0.5,0,21.18
61,50037514,Layne Hatcher,ARKST,QB,2,MPHS,23,38,60.5,276,7.3,1,0,91.56,5,0,0,1,21.04
62,50027590,Levi Lewis,LOULAF,QB,2,NICHLS,19,33,57.6,304,9.2,2,0,108.65,5,7,1.4,0,20.86
63,50002018,Zerrick Cooper,JAXST,QB,2,FLST,17,38,44.7,242,6.4,2,0,83.44,17,31,1.8,0,20.78
64,50037447,Emory Jones,FL,QB,2,SFL,14,22,63.6,151,6.9,1,2,60.98,13,81,6.2,1,20.14
65,50054070,Michael Pratt,TULANE,QB,2,MORGST,8,13,61.5,124,9.5,2,0,132.69,3,11,3.7,1,20.06
66,50048434,Kurtis Rourke,OHIO,QB,2,DUQ,14,22,63.6,168,7.6,1,0,102.08,4,28,7,1,19.52
67,50026081,Dennis Grosel,BOSCOL,QB,2,UMASS,11,14,78.6,199,14.2,1,0,142.56,5,15,3,1,19.46
68,50056635,Will Rogers,MSPST,QB,2,NCST,33,49,67.3,294,6,2,0,96.81,2,-5,-2.5,0,19.26
69,50038005,Spencer Sanders,OKST,QB,2,TULSA,15,26,57.7,173,6.7,2,1,87.5,10,62,6.2,0,19.12
70,50032726,Christian Anderson,ARMY,QB,2,WKENT,5,6,83.3,77,12.8,1,0,158.33,22,119,5.4,0,18.98
71,50037926,Casey Thompson,TX,QB,2,ARK,5,8,62.5,57,7.1,0,0,83.85,7,44,6.3,2,18.68
72,50054462,Max Johnson,LSU,QB,2,MCNST,18,27,66.7,161,6,3,0,119.52,8,0,0,0,18.44
73,50026573,Hendon Hooker,TENN,QB,2,PITT,15,21,71.4,188,9,2,1,110.81,9,49,5.4,0,18.42
74,50068445,Brady Olson,UMASS,QB,2,BOSCOL,14,29,48.3,214,7.4,3,2,78.81,6,17,2.8,0,18.26
75,50053162,Trae Self,SFAUS,QB,2,TXTECH,38,58,65.5,343,5.9,1,0,87.07,6,2,0.3,0,17.92
76,50048870,Darius Perrantes,DUQ,QB,2,OHIO,23,34,67.6,194,5.7,1,0,92.03,6,0,0,1,17.76
77,50037292,Jacob Sirmon,CMICH,QB,2,ROBMS,12,16,75,110,6.9,3,0,132.81,6,13,2.2,0,17.7
78,50005262,Austin Kendall,LOUTCH,QB,2,SELOU,19,27,70.4,217,8,1,1,91.13,7,10,1.4,1,17.68
79,50003838,Max Bortenschlager,FLINT,QB,2,TXST,17,34,50,259,7.6,2,0,95.1,3,-7,-2.3,0,17.66
79,50036663,Will Levis,UK,QB,2,MISSR,10,18,55.6,179,9.9,1,1,85.19,11,25,2.3,1,17.66
81,50035081,Juwan Carter,NORFST,QB,2,WAKE,19,31,61.3,195,6.3,2,1,87.43,9,37,4.1,0,17.5
82,50045978,Mike Beaudry,IDAHO,QB,2,IND,23,36,63.9,196,5.4,2,0,96.53,4,15,3.8,0,17.34
83,50025975,Desmond Ridder,CIN,QB,2,MURST,14,22,63.6,243,11,2,0,131.44,4,-4,-1,0,17.32
84,50017820,Neil Boudreau,MORGST,QB,2,TULANE,17,26,65.4,184,7.1,3,2,92.47,11,17,1.5,0,17.06
85,50046700,Brett Gabbert,MIAOH,QB,2,MINNST,14,29,48.3,201,6.9,2,1,79.81,6,27,4.5,0,16.74
86,50036219,Jace Ruder,NTX,QB,2,SMU,32,51,62.7,366,7.2,1,2,74.47,10,15,1.5,0,16.14
87,50033188,Chris Reynolds,CHARLT,QB,2,GARDWB,10,17,58.8,103,6.1,1,2,56.37,4,60,15,1,16.12
88,50000777,D'Eriq King,MIA,QB,2,APPLST,20,33,60.6,200,6.1,0,0,77.84,19,79,4.2,0,15.9
88,50041594,Brady McBride,TXST,QB,2,FLINT,18,31,58.1,165,5.3,1,0,83.4,13,53,4.1,0,15.9
90,50044387,Shannon Patrick,BCOOK,QB,2,UCF,27,48,56.2,238,5,2,1,74.83,1,2,2,0,15.72
91,50036506,Michael Penix Jr.,IND,QB,2,IDAHO,11,16,68.8,68,4.2,2,0,116.67,4,-13,-3.2,1,15.42
92,50028046,Keytaon Thompson,VIR,QB,2,ILL,0,1,0,0,0,0,0,39.58,4,24,6,1,15.2
93,50040561,DJ Irons,AKRON,QB,2,TEMPL,12,22,54.5,109,5,1,1,64.39,10,27,2.7,1,15.06
94,50046545,Dylan Morris,WASH,QB,2,MICH,20,37,54.1,293,7.9,1,0,89.13,7,-8,-1.1,0,14.92
95,50027872,Braxton Burmeister,VTECH,QB,2,MTNST,14,24,58.3,142,5.9,1,0,89.24,8,52,6.5,0,14.88
96,50026079,Matt McDonald,BOWLGR,QB,2,SALA,23,32,71.9,308,9.6,1,0,112.5,7,-16,-2.3,0,14.72
97,50059359,Demeatric Crenshaw,YNGST,QB,2,MST,10,23,43.5,81,3.5,0,1,34.87,18,69,3.8,1,14.14
98,50048552,Zach Calzada,TXAM,QB,2,COL,18,38,47.4,183,4.8,1,0,70.39,7,28,4,0,14.12
99,50062749,Tyler Buchner,ND,QB,2,TOLEDO,3,3,100,78,26,1,0,158.33,7,68,9.7,0,13.92
100,50052889,Tommy Schuster,NDAK,QB,2,UTAHST,29,43,67.4,345,8,1,2,80.09,1,-1,-1,0,13.7
101,50046521,Kedon Slovis,USC,QB,2,STAN,27,42,64.3,223,5.3,1,1,75.79,5,25,5,0,13.42
102,50036423,Fred Payton,MERC,QB,2,ALA,9,15,60,159,10.6,2,1,108.06,5,10,2,0,13.36
103,50027747,Jack Coan,ND,QB,2,TOLEDO,21,33,63.6,239,7.2,2,1,92.87,8,-24,-3,0,13.16
104,50059043,Haaziq Daniels,AIRF,QB,2,NAVY,3,10,30,49,4.9,0,0,47.5,14,51,3.6,1,13.06
105,50027696,Josh Adkins,UTSA,QB,2,LAMAR,11,13,84.6,134,10.3,2,0,149.2,1,-4,-4,0,12.96
106,50026754,Tanner Morgan,MINNST,QB,2,MIAOH,8,17,47.1,112,6.6,2,0,107.97,4,4,1,0,12.88
107,50060393,Doug Brumfield,UNLV,QB,2,ARZST,6,14,42.9,60,4.3,0,0,55.65,8,43,5.4,1,12.7
108,50037679,Davis Brin,TULSA,QB,2,OKST,19,27,70.4,224,8.3,0,0,95.29,8,37,4.6,0,12.66
109,50056160,Draylen Ellis,AUSP,QB,2,MISS,22,40,55,226,5.6,1,0,79.79,6,-4,-0.7,0,12.64
110,50036338,Devin Leary,NCST,QB,2,MSPST,30,49,61.2,303,6.2,1,1,77.17,8,-15,-1.9,0,12.62
111,50037195,Andrew Peasley,UTAHST,QB,2,NDAK,2,4,50,14,3.5,0,0,58.33,1,59,59,1,12.46
112,50043589,Dino Maldonado,NMXST,QB,2,NMX,13,34,38.2,192,5.6,1,2,42.77,6,46,7.7,0,12.28
113,50045431,Bo Nix,AUBRN,QB,2,ALAST,9,17,52.9,108,6.4,2,0,111.89,2,-2,-1,0,12.12
114,50046550,Spencer Brasch,CALPOL,QB,2,FREST,18,33,54.5,212,6.4,1,1,71.78,12,12,1,0,11.68
115,50068478,Ty Keyes,SOUMIS,QB,2,GRMBST,4,11,36.4,50,4.5,1,0,81.63,8,56,7,0,11.6
116,50033005,Aidan O'Connell,PUR,QB,2,UCONN,9,11,81.8,86,7.8,2,0,138.83,0,0,0,0,11.44
117,50038279,Kaleb Eleby,WMICH,QB,2,ILLST,15,21,71.4,174,8.3,1,0,112,4,2,0.5,0,11.16
118,50036717,Artur Sitkowski,ILL,QB,2,VIR,24,45,53.3,221,4.9,1,1,65.14,7,2,0.3,0,11.04
119,50045851,K.J. Jefferson,ARK,QB,2,TX,14,19,73.7,138,7.3,0,1,71.82,10,73,7.3,0,10.82
120,50038229,Carter Bradley,TOLEDO,QB,2,ND,18,28,64.3,221,7.9,1,0,100.45,5,-21,-4.2,0,10.74
121,50026031,Chase Brice,APPLST,QB,2,MIA,21,34,61.8,199,5.9,1,1,75.49,4,7,1.8,0,10.66
122,50008015,Kato Nelson,AKRON,QB,2,TEMPL,7,12,58.3,82,6.8,1,0,106.94,10,32,3.2,0,10.48
123,50054879,Will Plummer,ARZ,QB,2,SDST,8,17,47.1,109,6.4,1,0,87.62,3,16,5.3,0,9.96
124,50027021,Charlie Brewer,UTAH,QB,2,BYU,15,26,57.7,147,5.7,1,1,70.51,4,20,5,0,9.88
125,50063292,Connor Blumrick,VTECH,QB,2,MTNST,0,0,0,0,0,0,0,0,3,38,12.7,1,9.8
126,50064664,Caleb Williams,OKL,QB,2,WCAR,5,10,50,84,8.4,0,0,78.75,4,60,15,0,9.36
127,50060340,Deuce Spann,ILL,QB,2,VIR,0,0,0,0,0,0,0,0,0,0,0,0,9.3
128,50055493,Brendon Lewis,COL,QB,2,TXAM,13,25,52,89,3.6,0,1,43.58,9,76,8.4,0,9.16
129,50046436,Collin Schlee,KENTST,QB,2,VAMIL,2,2,100,24,12,0,0,116.67,1,21,21,1,9.06
130,50001012,McKenzie Milton,FLST,QB,2,JAXST,18,31,58.1,133,4.3,1,1,65.66,3,16,5.3,0,8.92
131,50008954,Anthony Thompson,INDST,QB,2,NW,21,34,61.8,132,3.9,1,0,79.53,6,-4,-0.7,0,8.88
131,50026055,Bailey Hockman,MTNST,QB,2,VTECH,19,32,59.4,207,6.5,1,1,75.91,4,-14,-3.5,0,8.88
133,50048094,DeQuan Finn,TOLEDO,QB,2,ND,2,5,40,8,1.6,0,0,47.92,2,24,12,1,8.72
134,50055333,Hunter Dekkers,IOWAST,QB,2,IOWA,11,16,68.8,114,7.1,1,0,109.9,0,0,0,0,8.56
135,50046646,Cornelious Brown IV,GAST,QB,2,NCAR,12,26,46.2,68,2.6,0,1,37.02,9,17,1.9,1,8.42
136,50032609,Nick Tronti,FLATL,QB,2,GAS,0,1,0,0,0,0,0,39.58,3,23,7.7,1,8.3
136,50028371,Noah Vedral,RUTGER,QB,2,SYRA,22,28,78.6,145,5.2,1,0,100.15,8,-15,-1.9,0,8.3
138,50012363,Jake Bentley,SALA,QB,2,BOWLGR,29,46,63,257,5.6,0,1,68.84,5,0,0,0,8.28
139,50038784,AJ Mayer,MIAOH,QB,2,MINNST,2,2,100,36,18,0,0,118.75,3,7,2.3,1,8.14
140,50030730,Preston Rice,MURST,QB,2,CIN,17,29,58.6,149,5.1,0,3,32.76,7,21,3,1,8.06
141,50063088,Cam Ransom,GAS,QB,2,FLATL,12,21,57.1,98,4.7,0,0,69.15,9,41,4.6,0,8.02
142,50065181,Jaylen Henderson,FREST,QB,2,CALPOL,4,6,66.7,44,7.3,0,0,88.19,9,62,6.9,0,7.96
143,50054304,Will Howard,KANST,QB,2,SILL,8,17,47.1,76,4.5,0,1,35.42,8,9,1.1,1,7.94
144,50069973,Andrew Body,TXS,QB,2,BAYL,5,10,50,24,2.4,0,0,56.25,7,67,9.6,0,7.66
145,50062760,Jordan Moore,DUKE,QB,2,NCAT,1,4,25,-4,-1,0,0,39.58,3,18,6,1,7.64
145,50037268,Jack Tuttle,IND,QB,2,IDAHO,2,4,50,91,22.8,1,0,135.42,0,0,0,0,7.64
147,50037891,Trey Lowe III,SOUMIS,QB,2,GRMBST,10,13,76.9,99,7.6,1,0,123.56,5,-4,-0.8,0,7.56
147,50037242,Tyler Shough,TXTECH,QB,2,SFAUS,12,22,54.5,174,7.9,1,2,57.77,6,6,1,0,7.56
149,50051889,Davius Richard,NCC,QB,2,MARSH,14,32,43.8,106,3.3,1,0,62.76,6,-8,-1.3,0,7.44
150,50036526,Joe Milton III,TENN,QB,2,PITT,7,12,58.3,50,4.2,0,0,68.06,5,54,10.8,0,7.4
151,50027344,Rocky Lombardi,NILL,QB,2,WYOM,19,36,52.8,233,6.5,1,3,47.57,5,0,0,0,7.32
152,50005938,Jett Duffey,HAMP,QB,2,OLD,7,16,43.8,83,5.2,1,0,80.99,8,-1,-0.1,0,7.22
153,50027180,Taylor Powell,TROY,QB,2,LIBRTY,18,25,72,211,8.4,1,1,93.92,7,-33,-4.7,0,7.14
154,50048449,Daniel Richardson,CMICH,QB,2,ROBMS,3,7,42.9,83,11.9,1,0,126.79,1,-2,-2,0,7.12
