Rank,PlayerID,Name,Team,Position,Week,Opponent,PassingCompletions,PassingAttempts,PassingCompletionPercentage,PassingYards,PassingYardsPerAttempt,PassingTouchdowns,PassingInterceptions,PassingRating,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,FantasyPoints
1,50030875,Bailey Zappe,WKENT,QB,1,TMRT,28,35,80,424,12.1,7,1,144.82,2,24,12,0,45.36
2,50036765,Tanner Mordecai,SMU,QB,1,ABCHR,24,30,80,317,10.6,7,0,150.28,1,0,0,0,40.68
3,50012738,Nick Starkel,SJST,QB,1,SUTAH,16,27,59.3,394,14.6,4,1,127.7,2,3,1.5,1,36.06
4,50025975,Desmond Ridder,CIN,QB,1,MIAOH,20,25,80,295,11.8,4,1,138.75,6,31,5.2,1,34.9
5,50033188,Chris Reynolds,CHARLT,QB,1,DUKE,19,30,63.3,324,10.8,3,0,133.19,10,37,3.7,1,34.66
6,50041135,Brennan Armstrong,VIR,QB,1,WM,21,31,67.7,339,10.9,2,0,125.6,7,0,0,2,33.56
7,50054070,Michael Pratt,TULANE,QB,1,OKL,27,44,61.4,296,6.7,3,0,103.98,15,34,2.3,1,33.24
8,50046075,Dillon Gabriel,UCF,QB,1,BOISE,25,37,67.6,318,8.6,4,2,107.71,12,64,5.3,0,31.12
9,50038515,Matt Corral,MISS,QB,1,LOU,22,32,68.8,381,11.9,1,0,119.4,12,55,4.6,1,30.74
10,50026310,Malik Cunningham,LOU,QB,1,MISS,22,37,59.5,191,5.2,1,1,70.89,18,79,4.4,2,30.44
11,50036587,Adrian Martinez,NEBR,QB,1,ILL,16,32,50,232,7.2,1,0,84.38,17,111,6.5,1,30.38
12,50041905,Phil Jurkovec,BOSCOL,QB,1,COLG,16,24,66.7,303,12.6,3,0,149.31,5,61,12.2,0,30.22
13,50060211,Matthew Sluka,HOLY,QB,1,UCONN,9,16,56.2,123,7.7,2,0,120.57,14,112,8,1,30.12
14,50054501,Bryce Young,ALA,QB,1,MIA,27,38,71.1,344,9.1,4,0,134.1,2,-1,-0.5,0,29.66
15,50005262,Austin Kendall,LOUTCH,QB,1,MSPST,20,36,55.6,269,7.5,2,1,86.46,5,68,13.6,1,29.56
16,50036587,Adrian Martinez,NEBR,QB,1,FORDM,17,23,73.9,254,11,1,0,124.18,8,33,4.1,2,29.46
17,50042415,Chevan Cordeiro,HAWAII,QB,1,PORTST,18,25,72,305,12.2,3,1,135.83,18,66,3.7,0,28.8
18,50027747,Jack Coan,ND,QB,1,FLST,26,35,74.3,366,10.5,4,1,133.75,9,-3,-0.3,0,28.34
19,50036663,Will Levis,UK,QB,1,LAMON,18,26,69.2,367,14.1,4,1,135.42,4,-6,-1.5,0,28.08
20,50045851,K.J. Jefferson,ARK,QB,1,RICE,12,21,57.1,128,6.1,1,1,71.13,9,89,9.9,2,28.02
21,50059043,Haaziq Daniels,AIRF,QB,1,LAFAY,3,5,60,50,10,0,0,93.75,19,72,3.8,3,27.2
22,50054288,C.J. Stroud,OHIOST,QB,1,MINNST,13,22,59.1,294,13.4,4,1,124.05,3,13,4.3,0,27.06
23,50045431,Bo Nix,AUBRN,QB,1,AKRON,20,22,90.9,275,12.5,3,0,158.33,3,32,10.7,0,26.2
23,50018297,Keon Howard,TMRT,QB,1,WKENT,20,43,46.5,195,4.5,1,1,57.8,12,44,3.7,2,26.2
25,50003128,Eric Barriere,EWASH,QB,1,UNLV,29,39,74.4,374,9.6,3,2,108.28,9,32,3.6,0,26.16
26,50036526,Joe Milton III,TENN,QB,1,BOWLGR,11,23,47.8,140,6.1,1,0,81.79,14,44,3.1,2,26
27,50028212,Jake Haener,FREST,QB,1,UCONN,20,26,76.9,331,12.7,3,0,156.73,2,7,3.5,0,25.94
27,50036717,Artur Sitkowski,ILL,QB,1,UTSA,22,42,52.4,266,6.3,3,0,95.93,6,33,5.5,0,25.94
29,50048480,Taulia Tagovailoa,MARY,QB,1,WVIR,26,36,72.2,332,9.2,3,0,128.47,6,3,0.5,0,25.58
30,50040525,Bailey Fisher,GARDWB,QB,1,GAS,27,45,60,315,7,3,0,103.47,6,3,0.5,0,24.9
31,50001283,Chris Oladokun,SDKST,QB,1,COLST,18,28,64.3,224,8,2,0,112.8,2,19,9.5,1,24.86
32,50054462,Max Johnson,LSU,QB,1,UCLA,26,46,56.5,330,7.2,3,1,91.76,11,16,1.5,0,24.8
33,50029000,Frank Harris,UTSA,QB,1,ILL,20,32,62.5,280,8.8,1,0,101.04,8,33,4.1,1,24.5
34,50010765,Terry Wilson,NMX,QB,1,HOUBAP,20,26,76.9,174,6.7,3,0,132.53,9,49,5.4,0,24.36
35,50028057,Malik Willis,LIBRTY,QB,1,CAMP,15,23,65.2,217,9.4,1,0,110.24,5,55,11,1,24.18
36,50003310,Davis Alexander,PORTST,QB,1,HAWAII,23,47,48.9,400,8.5,3,2,81.87,4,1,0.2,0,24.1
37,50012363,Jake Bentley,SALA,QB,1,SOUMIS,17,22,77.3,269,12.2,2,0,147.73,6,-7,-1.2,1,24.06
38,50058356,Anthony Richardson,FL,QB,1,FLATL,3,8,37.5,40,5,0,0,54.17,7,160,22.9,1,23.6
39,50056635,Will Rogers,MSPST,QB,1,LOUTCH,39,47,83,370,7.9,3,1,111.88,5,-18,-3.6,0,23
40,50054301,Hudson Card,TX,QB,1,LOULAF,14,21,66.7,224,10.7,2,0,133.83,6,-1,-0.2,1,22.86
41,50037514,Layne Hatcher,ARKST,QB,1,CARK,12,12,100,150,12.5,4,0,158.33,1,8,8,0,22.8
42,50026519,Kenny Pickett,PITT,QB,1,UMASS,27,37,73,272,7.4,2,0,111.54,6,39,6.5,0,22.78
43,50002921,Anthony Brown,ORE,QB,1,FREST,15,24,62.5,172,7.2,1,0,97.92,16,56,3.5,1,22.48
44,50005809,Zeb Noland,SC,QB,1,EILL,13,21,61.9,121,5.8,4,0,117.26,1,10,10,0,21.84
45,50026035,Hunter Johnson,NW,QB,1,MST,30,43,69.8,275,6.4,3,0,110.13,11,-14,-1.3,0,21.6
46,50027180,Taylor Powell,TROY,QB,1,SOUTH,17,27,63,231,8.6,2,1,99.46,1,1,1,1,21.34
47,50019867,Connor Sampson,WILL,QB,1,BALLST,30,43,69.8,367,8.5,2,1,101.6,5,4,0.8,0,21.08
48,50028212,Jake Haener,FREST,QB,1,ORE,30,43,69.8,298,6.9,1,0,96.85,9,-10,-1.1,1,20.92
49,50039939,Dorian Thompson-Robinson,UCLA,QB,1,LSU,9,16,56.2,260,16.2,3,1,114.58,13,5,0.4,0,20.9
50,50026129,Tyler Johnston III,UAB,QB,1,JAXST,17,21,81,320,15.2,2,0,150.5,3,0,0,0,20.8
51,50042820,Jaren Hall,BYU,QB,1,ARZ,18,28,64.3,198,7.1,2,0,108.93,5,36,7.2,0,20.42
52,50012607,Lindsey Scott Jr.,NICHLS,QB,1,MPHS,17,30,56.7,194,6.5,1,0,87.36,7,24,3.4,1,20.16
53,50036930,Jason Bean,KAN,QB,1,SDAK,17,26,65.4,163,6.3,2,0,108.33,15,54,3.6,0,19.92
54,50026055,Bailey Hockman,MTNST,QB,1,MONM,17,22,77.3,215,9.8,3,0,146.78,1,-7,-7,0,19.9
55,50036522,Jack Plummer,PUR,QB,1,OREGST,29,41,70.7,313,7.6,2,0,109.1,3,-9,-3,0,19.62
56,50037857,Sam Hartman,WAKE,QB,1,OLD,18,27,66.7,188,7,3,0,123.69,5,-1,-0.2,0,19.42
57,50036159,Holton Ahlers,ECAR,QB,1,APPLST,22,40,55,295,7.4,2,1,84.9,12,14,1.2,0,19.2
58,50006049,Skylar Thompson,KANST,QB,1,STAN,9,14,64.3,144,10.3,0,1,68.75,10,33,3.3,2,19.06
59,50037242,Tyler Shough,TXTECH,QB,1,HOU,17,24,70.8,231,9.6,1,0,115.1,6,-2,-0.3,1,19.04
60,50046005,Jack Zergiotis,UCONN,QB,1,HOLY,17,41,41.5,174,4.2,3,3,48.22,10,0,0,1,18.96
60,50027872,Braxton Burmeister,VTECH,QB,1,NCAR,12,19,63.2,169,8.9,1,1,87.39,9,42,4.7,1,18.96
62,50046521,Kedon Slovis,USC,QB,1,SJST,24,36,66.7,256,7.1,2,0,105.79,4,7,1.8,0,18.94
63,50046339,Spencer Rattler,OKL,QB,1,TULANE,30,39,76.9,304,7.8,1,2,85.84,8,7,0.9,1,18.86
64,50019687,Breylin Smith,CARK,QB,1,ARKST,23,42,54.8,296,7,3,2,81.05,2,-11,-5.5,0,18.74
65,50050799,Gavin Hardison,UTEP,QB,1,BCOOK,14,23,60.9,183,8,3,0,125.54,2,-6,-3,0,18.72
66,50028127,Todd Centeio,COLST,QB,1,SDKST,29,42,69,304,7.2,1,0,97.72,8,10,1.2,0,18.36
67,50046220,Jordan Yates,GTECH,QB,1,NILL,12,18,66.7,135,7.5,1,0,107.41,9,27,3,1,18.1
68,50003838,Max Bortenschlager,FLINT,QB,1,LIUB,14,17,82.4,266,15.6,2,1,133.46,3,12,4,0,17.84
69,50037093,Carson Strong,NEVADA,QB,1,CAH,22,39,56.4,312,8,2,1,88.84,3,-7,-2.3,0,17.78
70,50008758,Drew Plitt,BALLST,QB,1,WILL,17,28,60.7,188,6.7,2,0,104.46,5,18,3.6,0,17.32
71,50046693,Max Duggan,TCU,QB,1,DUQ,14,19,73.7,207,10.9,1,1,104.5,2,9,4.5,1,17.18
72,50032726,Christian Anderson,ARMY,QB,1,GAST,1,2,50,40,20,1,0,135.42,15,55,3.7,1,17.1
72,50026339,Matthew McKay,MONST,QB,1,WYOM,19,28,67.9,200,7.1,2,0,112.2,9,11,1.2,0,17.1
74,50039422,Hunter Rodrigues,UCDV,QB,1,TULSA,28,35,80,311,8.9,1,0,113.21,5,6,1.2,0,17.04
75,50046249,Grayson McCall,COAST,QB,1,CITA,16,19,84.2,262,13.8,1,0,136.29,2,24,12,0,16.88
76,50027021,Charlie Brewer,UTAH,QB,1,WEBST,19,27,70.4,233,8.6,2,1,105.94,4,15,3.8,0,16.82
77,50026031,Chase Brice,APPLST,QB,1,ECAR,20,27,74.1,259,9.6,2,1,113.04,5,2,0.4,0,16.56
78,50028192,Jason Shelley,MSRST,QB,1,OKST,23,44,52.3,235,5.3,1,0,75.47,17,31,1.8,0,16.5
79,50046625,Connor Bazelak,MISSR,QB,1,CMICH,21,32,65.6,257,8,2,0,111.07,3,-21,-7,0,16.18
80,50036372,Johnny Langan,RUTGER,QB,1,TEMPL,1,2,50,7,3.5,0,0,58.33,5,19,3.8,2,16.08
81,50054469,Haynes King,TXAM,QB,1,KENTST,21,33,63.6,292,8.8,2,3,74.31,5,22,4.4,0,15.88
82,50048490,Hank Bachmeier,BOISE,QB,1,UCF,25,39,64.1,263,6.7,2,1,90.01,1,-7,-7,0,15.82
83,50036122,Clayton Tune,HOU,QB,1,TXTECH,27,38,71.1,174,4.6,2,4,58.33,13,28,2.2,1,15.76
84,50027344,Rocky Lombardi,NILL,QB,1,GTECH,11,17,64.7,136,8,2,0,128.55,5,23,4.6,0,15.74
85,50048094,DeQuan Finn,TOLEDO,QB,1,NORFST,4,5,80,38,7.6,0,0,98.33,9,82,9.1,1,15.72
86,50064524,Seth Henigan,MPHS,QB,1,NICHLS,19,32,59.4,265,8.3,1,0,96.48,4,9,2.2,0,15.5
87,50036338,Devin Leary,NCST,QB,1,SFL,17,26,65.4,232,8.9,2,1,103.37,2,1,0.5,0,15.38
88,50028371,Noah Vedral,RUTGER,QB,1,TEMPL,15,27,55.6,138,5.1,1,0,82.02,8,58,7.2,0,15.32
89,50037170,Sean Chambers,WYOM,QB,1,MONST,15,26,57.7,196,7.5,1,1,78.37,14,51,3.6,0,14.94
90,50048201,Johnathan Bennett,LIBRTY,QB,1,CAMP,4,6,66.7,102,17,1,0,149.31,2,6,3,1,14.68
91,50054898,Xavier Arline,NAVY,QB,1,MARSH,2,3,66.7,26,8.7,0,0,93.75,16,76,4.8,1,14.64
92,50026548,Tommy DeVito,SYRA,QB,1,OHIO,11,17,64.7,92,5.4,0,0,78.55,7,49,7,1,14.58
93,50060518,Jayden De Laura,WASHST,QB,1,UTAHST,12,22,54.5,155,7,1,0,92.05,7,42,6,0,14.4
94,50033047,Sean Clifford,PENNST,QB,1,WISC,18,33,54.5,247,7.5,1,0,88.83,6,5,0.8,0,14.38
95,50046284,Payton Thorne,MST,QB,1,NW,15,25,60,185,7.4,1,0,96.25,5,28,5.6,0,14.2
96,50036228,Jordan Travis,FLST,QB,1,ND,9,19,47.4,130,6.8,2,3,65.57,12,9,0.8,1,14.1
97,50068385,Camden Orth,LIUB,QB,1,FLINT,15,30,50,197,6.6,1,0,82.22,6,22,3.7,0,14.08
98,50048806,Hajj-Malik Williams,CAMP,QB,1,LIBRTY,15,32,46.9,183,5.7,1,0,75.39,4,26,6.5,0,13.92
99,50054308,Shane Illingworth,OKST,QB,1,MSRST,22,40,55,315,7.9,1,1,78.65,2,-7,-3.5,0,13.9
100,50036837,Brock Purdy,IOWAST,QB,1,NIOWA,21,26,80.8,199,7.7,0,0,98.56,9,58,6.4,0,13.76
101,50026237,Kyle Vantrease,BUF,QB,1,WAG,15,19,78.9,231,12.2,1,0,134.87,1,4,4,0,13.64
