Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
443,50061254,Lan Larison,UCDV,RB,1,TULSA,9,14,1.6,0,0,0,0,1,0,1.4
443,50054120,Quinton Cooley,WAKE,RB,1,OLD,3,14,4.7,0,0,0,0,0,0,1.4
443,50067515,Zahir Abdus-Salaam,WMICH,RB,1,MICH,3,14,4.7,0,0,0,0,0,0,1.4
456,50058905,Terion Stewart,BOWLGR,RB,1,TENN,7,13,1.9,0,1,0,0,0,0,1.3
456,50054702,Kobe Pace,CLMSN,RB,1,GA,4,7,1.8,0,1,6,0,0,0,1.3
456,50037131,A'Jon Vivens,COLST,RB,1,SDKST,3,11,3.7,0,1,2,0,0,0,1.3
456,50048227,Leon Franklin,MICH,RB,1,WMICH,3,13,4.3,0,0,0,0,0,0,1.3
456,50061157,Jobi Malary,PORTST,RB,1,HAWAII,4,13,3.2,0,0,0,0,0,0,1.3
456,50049033,Prince Hall,WAG,RB,1,BUF,2,13,6.5,0,0,0,0,0,0,1.3
462,50012413,C.J. Freeman,CAMP,RB,1,LIBRTY,8,12,1.5,0,0,0,0,0,0,1.2
462,50059644,Harrison Bey-Buie,EILL,RB,1,SC,5,12,2.4,0,0,0,0,0,0,1.2
462,50054952,Jalen White,GAS,RB,1,GARDWB,4,12,3,0,0,0,0,0,0,1.2
462,50027979,Chase Hayden,ILL,RB,1,NEBR,4,12,3,0,0,0,0,0,0,1.2
462,50055228,Tim Baldwin Jr.,IND,RB,1,IOWA,6,12,2,0,0,0,0,0,0,1.2
462,50039066,Troy Henderson,LIBRTY,RB,1,CAMP,5,12,2.4,0,0,0,0,0,0,1.2
462,50041887,Harold Joiner,MST,RB,1,NW,3,12,4,0,0,0,0,1,1,1.2
462,50041481,Trevor Morgan,NWST,RB,1,NTX,1,12,12,0,0,0,0,0,0,1.2
462,50048586,Terrion Avery,SALA,RB,1,SOUMIS,10,12,1.2,0,0,0,0,0,0,1.2
471,50063814,George Hart III,ARZST,RB,1,SUTAH,4,11,2.8,0,0,0,0,0,0,1.1
471,50003855,LaDerrien Wilson,BCOOK,RB,1,UTEP,4,11,2.8,0,0,0,0,0,0,1.1
471,50048383,Kelvin Dean Jr.,FLATL,RB,1,FL,1,0,0,0,1,11,0,0,0,1.1
471,50046429,Joachim Bangda,KENTST,RB,1,TXAM,6,11,1.8,0,0,0,0,0,0,1.1
471,50062741,Trevion Cooley,LOU,RB,1,MISS,3,11,3.7,0,0,0,0,0,0,1.1
471,50045747,Keyon Henry-Brooks,LOUTCH,RB,1,MSPST,2,1,0.5,0,1,10,0,0,0,1.1
471,50057336,Greg Garner,LOUTCH,RB,1,MSPST,4,11,2.8,0,0,0,0,0,0,1.1
471,50046298,Rahmir Johnson,NEBR,RB,1,ILL,4,11,2.8,0,0,0,0,0,0,1.1
471,50029790,Tyler Hoosman,NIOWA,RB,1,IOWAST,3,8,2.7,0,1,3,0,0,0,1.1
471,50033713,Kaegun Williams,SDST,RB,1,NMXST,3,11,3.7,0,0,0,0,0,0,1.1
