Rank,PlayerID,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPoints
585,50061937,Jakobi Jones,SOUTH,RB,1,TROY,0,0,0,0,0,0,0,0,0,0
585,50057785,Len'Neth Whitehead,TENN,RB,1,BOWLGR,0,0,0,0,0,0,0,0,0,0
585,50027554,Chadarius Townsend,TXTECH,RB,1,HOU,0,0,0,0,0,0,0,1,0,0
585,50024284,Ethan Fernea,UCLA,RB,1,LSU,0,0,0,0,0,0,0,0,0,0
585,50054047,Devontae Houston,UCONN,RB,1,HOLY,0,0,0,0,0,0,0,0,0,0
585,50054047,Devontae Houston,UCONN,RB,1,FREST,0,0,0,0,0,0,0,0,0,0
585,50042966,Chad Magyar,UNLV,RB,1,EWASH,0,0,0,0,0,0,0,0,0,0
585,50046514,Kenan Christon,USC,RB,1,SJST,0,0,0,0,0,0,0,0,0,0
585,50020896,Dave Jones,WEBST,RB,1,UTAH,1,0,0,0,0,0,0,0,0,0
585,50066957,Jaylen Reed,WILL,RB,1,BALLST,0,0,0,0,1,0,0,0,0,0
585,50067151,Braelon Allen,WISC,RB,1,PENNST,0,0,0,0,0,0,0,0,0,0
585,50041641,Jamale Carothers,WKENT,RB,1,TMRT,0,0,0,0,0,0,0,0,0,0
616,50058898,Taron Keith,BOWLGR,RB,1,TENN,1,-1,-1,0,1,0,0,0,0,-0.1
616,50046579,Nathaniel Peat,STAN,RB,1,KANST,3,3,1,0,1,-4,0,0,0,-0.1
618,50056815,Anderson Castle,APPLST,RB,1,ECAR,2,-2,-1,0,0,0,0,0,0,-0.2
618,50060905,Jalin Graham,GARDWB,RB,1,GAS,2,-2,-1,0,0,0,0,0,0,-0.2
618,50066907,Nahjee Adams,LAFAY,RB,1,AIRF,2,-2,-1,0,0,0,0,1,0,-0.2
618,50048497,Courtney Reese,UNLV,RB,1,EWASH,1,-2,-2,0,0,0,0,0,0,-0.2
622,50039242,Braxton George,NCOL,RB,1,COL,1,-4,-4,0,0,0,0,0,0,-0.4
622,50058215,Keyvone Lee,PENNST,RB,1,WISC,3,-4,-1.3,0,0,0,0,0,0,-0.4
624,50044283,Ean Beek,HOUBAP,RB,1,NMX,4,-7,-1.8,0,1,2,0,0,0,-0.5
624,50058107,Challen Faamatau,MARY,RB,1,WVIR,1,-5,-5,0,0,0,0,0,0,-0.5
624,50030491,Owen Wright,MONM,RB,1,MTNST,3,-1,-0.3,0,1,-4,0,1,1,-0.5
624,50048319,Tyetus Smith-Lindsey,UAB,RB,1,JAXST,1,-5,-5,0,0,0,0,0,0,-0.5
628,50040415,Jonathan Abrams,HOLY,RB,1,UCONN,2,-7,-3.5,0,0,0,0,1,1,-0.7
629,50048350,Micaleous Elder,MTNST,RB,1,MONM,2,-10,-5,0,0,0,0,0,0,-1
630,50064256,Xzavier Ford,HOUBAP,RB,1,NMX,3,-13,-4.3,0,0,0,0,1,1,-1.3
