Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
54,50039492,Hayden Meacham,WEBST,TE,1,UTAH,1,2,1,2,2,0,0,0,0,0,0,6.2
56,50008262,Jake Molinich,BUF,TE,1,WAG,0,0,0,0,0,1,1,1,1,0,0,6.1
56,50006792,Xavier Gaines,MARSH,TE,1,NAVY,2,61,0,41,30.5,0,0,0,0,1,0,6.1
56,50026675,Austin Allen,NEBR,TE,1,FORDM,4,61,0,26,15.2,0,0,0,0,0,0,6.1
56,50056663,Trent Tyre,SALA,TE,1,SOUMIS,1,1,1,1,1,0,0,0,0,0,0,6.1
60,50030943,Remington Lutz,ABCHR,TE,1,SMU,1,59,0,59,59,0,0,0,0,0,0,5.9
61,50048271,Mason Fairchild,KAN,TE,1,SDAK,4,58,0,20,14.5,0,0,0,0,0,0,5.8
62,50028296,Curtis Hodges,ARZST,TE,1,SUTAH,2,56,0,29,28,0,0,0,0,0,0,5.6
63,50049447,Tucker Kraft,SDKST,TE,1,COLST,5,53,0,21,10.6,0,0,0,0,0,0,5.3
64,50027771,Jake Ferguson,WISC,TE,1,PENNST,9,52,0,10,5.8,0,0,0,0,0,0,5.2
65,50042184,Marshon Ford,LOU,TE,1,MISS,4,50,0,28,12.5,0,0,0,0,0,0,5
65,50031307,Justin Malone,WEBST,TE,1,UTAH,5,50,0,14,10,0,0,0,0,0,0,5
67,50036757,Brevyn Spann-Ford,MINNST,TE,1,OHIOST,3,44,0,16,14.7,0,0,0,0,0,0,4.4
67,50037281,Brant Kuithe,UTAH,TE,1,WEBST,3,44,0,18,14.7,0,0,0,0,0,0,4.4
69,50063044,Brock Bowers,GA,TE,1,CLMSN,6,43,0,13,7.2,0,0,0,0,0,0,4.3
70,50036119,Christian Trahan,HOU,TE,1,TXTECH,6,42,0,17,7,0,0,0,0,0,0,4.2
70,50060213,Mason Gilbert,LAFAY,TE,1,AIRF,3,42,0,20,14,0,0,0,0,0,0,4.2
70,50042649,Teagan Quitoriano,OREGST,TE,1,PUR,2,42,0,34,21,0,0,0,0,0,0,4.2
73,50048110,Neal Johnson,LOULAF,TE,1,TX,3,40,0,21,13.3,0,0,0,0,0,0,4
74,50028070,John Samuel Shenker,AUBRN,TE,1,AKRON,5,38,0,10,7.6,0,0,0,0,0,0,3.8
74,50046656,Khaleb Hood,GAS,TE,1,GARDWB,3,39,0,24,13,1,-1,-1,0,0,0,3.8
74,50010955,Daniel Imatorbhebhe,KANST,TE,1,STAN,2,38,0,22,19,0,0,0,0,0,0,3.8
77,50045448,Austin Stogner,OKL,TE,1,TULANE,3,36,0,20,12,0,0,0,0,0,0,3.6
77,50048561,Jalen Wydermyer,TXAM,TE,1,KENTST,4,36,0,18,9,0,0,0,0,0,0,3.6
79,50009039,Mitchell Brinkman,SFL,TE,1,NCST,2,35,0,31,17.5,0,0,0,0,0,0,3.5
80,50055486,Sam Olson,SJST,TE,1,USC,3,32,0,21,10.7,0,0,0,0,0,0,3.2
80,50026158,Hayden Pittman,UAB,TE,1,JAXST,2,32,0,32,16,0,0,0,0,0,0,3.2
