Rank,PlayerID,Name,Team,Position,Week,Opponent,Receptions,ReceivingYards,ReceivingTouchdowns,ReceivingLong,ReceivingYardsPerReception,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,Fumbles,FumblesLost,FantasyPoints
144,50064665,Mario Williams,OKL,WR,1,TULANE,6,37,1,16,6.2,0,0,0,0,0,0,10.1
147,50054928,Kyren Lacy,LOULAF,WR,1,TX,3,40,1,19,13.3,0,0,0,0,0,0,10
147,50041082,Talik Keaton,MARSH,WR,1,NAVY,5,100,0,47,20,0,0,0,0,0,0,10
147,50038389,Tyrone Scott,MSRST,WR,1,OKST,3,40,1,23,13.3,0,0,0,0,0,0,10
147,50056279,Jordan Addison,PITT,WR,1,UMASS,5,40,1,23,8,0,0,0,0,0,0,10
151,50027746,Danny Davis III,WISC,WR,1,PENNST,8,99,0,23,12.4,0,0,0,0,0,0,9.9
152,50042513,Fotis Kokosioulis,FORDM,WR,1,NEBR,3,30,1,31,10,2,8,4,0,0,0,9.8
152,50049294,K.J. Franklin,NICHLS,WR,1,MPHS,5,38,1,11,7.6,0,0,0,0,0,0,9.8
154,50028915,Quian Williams,BUF,WR,1,WAG,5,96,0,37,19.2,0,0,0,0,0,0,9.6
154,50012916,Rick Wells,FL,WR,1,FLATL,5,36,1,13,7.2,0,0,0,0,0,0,9.6
154,50049398,Ayir Asante,HOLY,WR,1,UCONN,2,36,1,24,18,0,0,0,0,0,0,9.6
157,50045940,Rashee Rice,SMU,WR,1,ABCHR,2,35,1,30,17.5,0,0,0,0,0,0,9.5
157,50063235,Deshon Stoudemire,TROY,WR,1,SOUTH,2,35,1,18,17.5,0,0,0,0,0,0,9.5
159,50041078,Corey Gammage,MARSH,WR,1,NAVY,7,94,0,22,13.4,0,0,0,0,0,0,9.4
159,50054412,Tory Horton,NEVADA,WR,1,CAH,3,94,0,46,31.3,0,0,0,0,0,0,9.4
159,50046149,Dontayvion Wicks,VIR,WR,1,WM,4,94,0,30,23.5,0,0,0,0,0,0,9.4
162,50027022,R.J. Sneed,BAYL,WR,1,TXST,6,92,0,26,15.3,0,0,0,0,0,0,9.2
162,50036309,Malachi Carter,GTECH,WR,1,NILL,6,92,0,53,15.3,0,0,0,0,0,0,9.2
162,50053876,Ra'Shaun Henry,VIR,WR,1,WM,2,32,1,27,16,0,0,0,0,0,0,9.2
165,50042116,Caleb Chapman,TXAM,WR,1,KENTST,4,91,0,53,22.8,0,0,0,0,0,0,9.1
165,50042369,Calvin Jackson Jr.,WASHST,WR,1,UTAHST,7,91,0,32,13,0,0,0,0,0,0,9.1
167,50056399,EJ Horton,MARSH,WR,1,NAVY,1,30,1,30,30,0,0,0,0,0,0,9
168,50036261,Jake Bobo,DUKE,WR,1,CHARLT,7,88,0,16,12.6,0,0,0,0,0,0,8.8
168,50055337,Xavier Hutchinson,IOWAST,WR,1,NIOWA,7,88,0,39,12.6,0,0,0,0,0,0,8.8
168,50004582,JD Spielman,TCU,WR,1,DUQ,2,26,1,16,13,1,2,2,0,0,0,8.8
168,50046595,Donovan Ollie,WASHST,WR,1,UTAHST,2,28,1,16,14,0,0,0,0,0,0,8.8
172,50046650,Jamari Thrash,GAST,WR,1,ARMY,7,87,0,18,12.4,0,0,0,0,0,0,8.7
172,50038414,Josh Vann,SC,WR,1,EILL,2,27,1,15,13.5,0,0,0,0,0,0,8.7
172,50060399,Kyle Williams,UNLV,WR,1,EWASH,6,87,0,58,14.5,0,0,0,0,0,0,8.7
175,50048419,Marlyn Johnson,BUF,WR,1,WAG,1,26,1,26,26,0,0,0,0,0,0,8.6
176,50062529,Jaden Williams,BOSCOL,WR,1,COLG,2,24,1,14,12,0,0,0,0,0,0,8.4
176,50014204,Raleigh Webb,CITA,WR,1,COAST,2,16,0,9,8,1,8,8,1,0,0,8.4
